release,n_0047,n_0050,n_0052,n_0061,n_0067,n_0075,n_0078,n_0091,n_0108,n_0109,o_0176,o_0264,c_0466,c_0500,c_0638,c_0699,c_0738,c_0761,c_0770,c_0838,c_0870,c_0980,c_1145,c_1158,c_1189,c_1223,c_1227,c_1244,c_1259,service_a,service_b,service_c,service_d,service_e,service_f,service_g,service_h,service_i,service_j,service_k,service_l,service_m,service_n
0.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.5666666666666667,1.0,0.5666666666666667,0.0625,339.0,5.0,0.0,5.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.35714285714285715,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,94.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,8.0,0.0,2.0,1.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,281.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,0.0,1.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.9,1.0,0.9,0.0625,156.0,4.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.9333333333333332,1.0,0.9333333333333332,0.0625,364.0,6.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,2.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,0.7857142857142857,1.0,0.3,1.0,0.3,0.125,230.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,187.0,4.0,1.0,7.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.0,23.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.6428571428571429,1.0,0.3,1.0,0.3,0.0625,216.0,6.0,1.0,7.0,3.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.8333333333333334,1.0,0.8333333333333334,0.0625,90.0,4.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,5.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3666666666666665,1.0,0.3666666666666665,0.0,281.0,7.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,0.0,5.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.4,1.0,0.4,0.125,95.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.21428571428571427,1.0,0.3,1.0,0.3,0.0,99.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,7.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.21428571428571427,1.0,0.3,1.0,0.3,0.0625,67.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.9333333333333332,1.0,0.9333333333333332,0.0,369.0,7.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.5,1.0,0.5,0.0,264.0,7.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0625,190.0,5.0,1.0,7.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.7857142857142857,1.0,0.7,1.0,0.7,0.0625,329.0,4.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
