Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,Att34,Att35,Att36,Att37,Att38,Att39,Att40,Att41,Att42,Att43,Att44,Att45,Att46,Att47,Att48,Att49,Att50,Att51,Att52,Att53,Att54,Att55,Att56,Att57,Att58,Att59,Att60,Att61,Att62,Att63,Att64,Att65,Att66,Att67,Att68,Att69,Att70,Att71,Att72,Att73,Att74,Att75,Att76,Att77,Att78,Att79,Att80,Att81,Att82,Att83,Att84,Att85,Att86,Att87,Att88,Att89,Att90,Att91,Att92,Att93,Att94,Att95,Att96,Att97,Att98,Att99,Att100,Att101,Att102,Att103,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14
-0.072579,-0.090852,-0.158701,-0.16486,-0.106735,-0.102631,0.058959,0.050692,0.147338,0.116292,0.002095,0.001357,-0.079275,-0.070555,-0.050414,0.015119,0.041737,0.108965,-0.038776,0.091967,0.031552,0.180726,0.096652,0.041474,0.196346,0.057603,0.107898,0.176917,0.127861,0.062869,0.103735,0.196043,0.001996,-0.170185,-0.217192,0.005996,0.123599,0.16439,0.012365,-0.086124,-0.082026,-0.014118,0.081171,0.034226,-0.046256,-0.080571,-0.066226,0.052526,0.062243,-0.001041,-0.057956,0.054652,0.130336,0.082482,-0.050028,0.121285,-0.011101,-0.120219,0.065582,0.022895,-0.095509,0.017891,0.123906,0.078104,-0.09574,-0.209948,-0.054137,-0.007888,0.05983,-0.125898,-0.078233,0.002804,-0.015014,-0.060568,-0.024619,0.044271,-0.028746,-0.121112,-0.036928,0.021176,-0.018592,0.108101,-0.141879,0.074193,-0.073465,-0.052507,-0.028271,0.081541,-0.056438,-0.067583,-0.063439,0.060603,0.332538,0.060056,0.163619,0.018197,-0.036094,-0.14392,-0.14187,0.094205,-0.036016,-0.004184,-0.091306,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
-0.016412,0.167754,-0.240542,-0.130046,-0.120065,-0.140404,-0.00263,-0.098129,0.008383,-0.013496,-0.058269,-0.080942,-0.044193,-0.235047,-0.103408,0.024138,-0.163116,-0.014608,0.025628,0.060298,0.140316,0.120433,0.185042,0.026097,0.298231,0.084673,-0.038198,0.12695,0.148391,0.055956,0.018056,0.042226,0.155997,0.137732,0.07115,0.046972,0.153682,0.094107,0.084682,-0.015364,0.059776,0.109612,0.074077,0.144506,0.144791,0.045148,0.073892,0.068938,-0.082722,-0.001387,-0.113568,-0.06607,-0.068381,0.007242,-0.148183,-0.146973,-0.074239,-0.000745,-0.134622,-0.096863,-0.030976,-0.033403,-0.063754,-0.189626,0.017104,0.089883,-0.013082,-0.09691,0.118269,0.058798,0.086857,0.073233,0.118179,-0.006571,0.100493,0.058203,-0.022113,-0.108565,-0.233677,0.057004,-0.067866,0.006511,0.001059,0.024313,0.006397,-0.069098,-0.07439,-0.083426,-0.074995,0.0654,-0.03378,-0.022055,0.003437,-0.057945,0.113663,-0.073815,0.047675,-0.048083,-0.004232,-0.021786,-0.005112,0.036174,0.109197,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.159712,0.053247,0.082959,0.089169,0.132008,-0.046773,0.119666,0.120287,0.094975,0.093078,0.052251,0.099644,0.113292,0.047959,0.049822,0.035304,-0.00043,0.03328,0.031702,0.000613,-0.053328,0.096125,0.007515,-0.009651,-0.062322,-0.070021,-0.035756,0.091809,-0.006004,0.081422,0.053987,-0.046954,0.133221,0.098215,0.04255,0.026855,0.063403,0.020626,0.10608,-0.034134,-0.037598,0.068733,0.028573,0.16239,0.05642,0.002419,-0.000882,-0.173627,0.037278,0.044248,-0.174758,-0.276771,-0.207088,-0.014792,-0.132045,0.015889,-0.137022,-0.109856,-0.039736,-0.033312,-0.058144,-0.146063,-0.024428,-0.104156,0.030647,-0.031004,0.03448,-0.019165,0.031026,-0.086672,0.010944,0.02852,0.181505,0.24156,0.183277,0.120445,0.04815,0.014961,-0.073273,-0.11139,-0.116052,-0.146375,0.072659,0.06195,0.098685,0.137185,0.043921,0.159818,0.215724,0.062972,0.053114,-0.144586,-0.117901,-0.150887,-0.116757,0.015714,-0.104242,-0.105924,0.032843,0.094074,-0.131296,0.109884,0.038002,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.007521,0.031103,-0.071759,-0.0198,-0.106211,0.04402,-0.103948,-0.037114,0.050686,0.097273,0.042147,0.043785,-0.00445,0.028268,0.037662,0.092069,-0.007187,0.05452,-0.147465,0.114868,0.135662,0.103739,0.204062,0.221661,0.190295,0.180203,0.082443,0.156438,0.185395,0.070869,0.016653,0.127644,0.016364,0.103562,0.111586,0.0717,0.02445,0.019223,-0.025717,-0.055933,-0.045901,0.050195,0.039821,0.017815,-0.031041,-0.050046,-0.066923,0.113672,0.053412,0.009527,-0.065477,-0.030559,-0.027396,-0.002283,-0.073731,-0.033943,-0.128495,-0.08249,0.065198,-0.060155,-0.223067,-0.094105,-0.036063,-0.059717,0.094286,-0.062695,-0.005343,-0.075733,0.083939,-0.03361,-0.033849,0.026112,0.155778,0.131026,0.088272,0.008739,0.036375,-0.176383,-0.164998,-0.011388,-0.127703,0.120086,-0.148752,0.083629,-0.027734,-0.168869,0.130404,0.073079,0.116537,0.11938,0.111239,-0.162178,0.06829,-0.178128,0.082513,0.103067,0.05981,0.062755,-0.151103,-0.11524,0.125793,-0.162037,-0.040684,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00848,0.02183,0.037536,-0.045745,-0.091218,-0.092743,-0.050866,0.052885,-0.092893,0.047752,-0.068881,-0.041495,-0.096434,-0.029357,-0.03136,0.065186,-0.099093,0.036714,0.180378,-0.031328,0.021384,0.011427,-0.162767,-0.222468,-0.147017,-0.182736,-0.091556,-0.117913,-0.253369,-0.078089,-0.099894,-0.093757,0.016358,-0.041867,-0.071164,-0.064631,-0.06524,-0.148458,-0.120698,-0.100291,-0.114769,0.060124,0.0061,0.087841,0.08187,0.096751,0.098177,0.046726,-0.106856,-0.022521,-0.013142,0.012022,-0.016189,-0.009258,0.023336,0.059406,0.061537,-0.028521,0.021605,0.245889,0.222593,0.129957,0.119815,-0.05982,-0.032224,-0.019954,0.103656,0.13008,-0.055919,-0.074199,0.002496,-0.003715,-0.089471,-0.092343,-0.10654,0.11803,0.138027,0.158033,0.172039,-0.170775,-0.186228,0.045161,0.046407,0.012044,0.068707,0.081039,0.082971,0.044654,0.050772,0.045369,0.035578,0.026404,-0.173246,0.033359,0.019959,0.035133,-0.176308,-0.174632,0.102023,0.034085,0.044876,0.125075,0.019474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.070277,-0.089432,-0.172572,-0.044195,-0.010756,0.027387,0.009816,-0.033736,0.032915,0.062921,-0.035557,0.044042,0.00323,0.057865,-0.024545,-0.05373,0.027507,0.006495,-0.196538,0.124525,0.264559,0.181165,0.14371,0.088465,0.081821,0.048745,0.012186,0.087579,-0.025589,-0.030909,-0.095408,0.125895,0.224022,0.201023,0.119063,0.170243,0.114406,0.135867,0.105107,0.017988,-0.063462,0.035181,0.104266,0.152244,-0.018522,-0.067374,-0.027183,0.143598,0.019018,0.012812,-0.067196,0.008542,-0.111731,0.038429,-0.077508,-0.104656,-0.055756,-0.000487,-0.004593,-0.143378,-0.079915,-0.076955,0.015559,-0.095222,-0.055346,-0.097266,-0.159469,-0.11017,0.002892,0.147527,-0.155953,0.09348,0.085376,0.065998,-0.061719,-0.119305,-0.134979,-0.05505,-0.063543,-0.078988,-0.105715,-0.076589,0.131666,0.087437,0.145274,-0.075503,0.152924,0.08025,0.135369,-0.124138,-0.120239,0.075721,-0.101779,0.121262,-0.091546,-0.036198,-0.094863,-0.085241,-0.087718,0.006144,-0.016123,0.068482,0.049687,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.09217,0.011142,-0.181859,-0.007237,-0.167448,0.066493,-0.013378,0.088807,0.082504,0.117017,0.035413,0.045993,0.03954,0.091746,0.091402,0.09453,0.126325,0.096932,0.006462,0.057384,0.154294,0.11568,0.221816,0.159167,0.128364,0.100008,-0.00543,0.062134,0.074178,-0.006385,-0.067587,-0.054482,-0.120804,-0.14902,-0.036698,0.128177,0.148814,0.11623,0.00943,-0.065137,-0.014681,0.04949,0.07643,0.045343,0.021933,-0.01037,0.040684,-0.03827,0.024563,0.012408,-0.047011,-0.022778,0.02382,0.044785,-0.07677,-0.078804,0.01068,-0.122271,-0.087203,-0.114468,-0.106032,-0.05544,0.041391,0.116655,0.161126,-0.010487,0.116928,0.059005,-0.073476,-0.120539,-0.110706,-0.08534,0.00845,-0.075238,-0.071723,0.053431,0.085842,-0.138774,-0.154838,0.067121,0.169535,0.09776,-0.155014,0.004726,-0.179023,-0.183447,0.154344,0.061494,0.054695,-0.037595,-0.036005,-0.173732,0.148069,-0.192652,0.168206,0.022928,0.10753,0.062364,0.032827,0.018719,0.039044,-0.179271,-0.094069,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.155718,-0.079421,-0.022771,0.446499,0.109561,0.044076,-0.077277,0.024985,-0.135166,0.034967,0.086851,0.184033,-0.044351,0.065286,-0.020978,0.134874,-0.054877,-0.025551,0.008381,-0.044131,-0.004499,0.116827,0.14026,-0.052491,0.059842,-0.054498,-0.150325,-0.015832,0.105979,0.007072,-0.056113,0.080827,0.01202,0.126365,-0.193525,-0.206047,-0.197102,-0.100392,0.107934,-0.055386,-0.157356,-0.185744,-0.269794,0.046315,-0.016251,-0.023183,-0.166774,-0.046628,0.074678,0.029116,0.026333,-0.020693,0.016154,-0.00815,-0.015092,0.121836,0.065818,-0.020672,0.148396,0.008892,0.028489,0.05945,0.103102,0.106347,-0.192802,-0.053173,-0.158137,-0.059847,0.032934,0.100262,0.086037,0.015293,-0.036398,0.069951,0.006992,-0.014096,0.11927,-0.038403,0.061812,-0.001043,-0.034171,-0.000952,-0.02043,-0.071335,0.008645,-0.014596,-0.039406,-0.035217,-0.038735,0.007974,0.005311,0.117245,0.023498,0.112885,-0.004817,-0.042084,-0.018759,-0.045782,-0.03858,-0.056482,-0.001737,-0.015702,0.097297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.027876,-0.041244,-0.050424,0.008287,-0.121279,0.031661,-0.037013,0.084281,-0.084941,0.031259,-0.122773,0.196508,-0.062057,0.075373,0.003391,0.080512,0.031255,0.088673,0.11373,0.020889,-0.030018,0.002177,-0.144111,-0.041074,-0.106024,0.113081,-0.141533,-0.177728,-0.125004,-0.150023,-0.059916,-0.070091,0.028203,0.0727,0.090293,0.016239,0.023576,0.045109,0.006184,-0.00821,-0.073904,0.131941,0.084484,0.216282,0.064533,0.069372,0.081213,0.044968,-0.093406,-0.081707,-0.013903,-0.001882,-0.070508,0.009935,0.028919,0.090568,-0.02952,-0.010663,0.257916,-0.094559,-0.008034,-0.102568,-0.112335,0.015408,-0.012083,0.098763,-0.008782,-0.056144,-0.136867,0.337138,-0.076703,0.029339,-0.142708,-0.0775,-0.038601,-0.000932,-0.062407,0.072539,-0.03362,-0.079656,0.109346,0.030868,0.207407,0.007132,-0.002061,-0.056195,-0.089844,0.034258,-0.101151,0.100619,-0.113286,-0.096503,0.082647,-0.064381,0.194413,-0.087285,0.301986,-0.031794,0.02271,-0.09852,-0.038894,-0.083404,-0.094116,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.119599,-0.106239,-0.194221,-0.126758,-0.166168,0.002844,-0.097067,-0.078961,-0.044592,0.011656,-0.086484,-0.100931,-0.090341,0.001591,-0.042616,-0.023823,-0.089776,-0.027161,-0.106129,0.020846,0.165111,-0.080371,-0.041614,0.002579,-0.037498,0.028092,0.026815,0.031128,0.061471,-0.04709,0.006555,-0.002887,-0.157377,-0.041662,-0.073771,-0.060441,-0.041507,-0.046826,-0.038366,0.166721,-0.047823,-0.225882,-0.084031,0.00717,-0.150679,-0.07748,-0.149414,-0.045662,0.170441,0.234806,0.245462,0.27364,0.345317,-0.165204,0.166736,0.126942,0.169413,0.189087,-0.065494,-0.017287,-0.024718,-0.023018,0.0595,-0.019802,-0.006701,-0.018068,0.01072,0.031175,-0.048644,-0.070855,-0.107406,-0.027812,-0.043893,-0.0952,-0.127709,-0.013217,-0.052986,-0.035524,-0.087928,-0.013024,-0.034891,-0.04533,-0.035212,-0.07007,-0.002912,0.039835,0.008958,0.011617,-0.032513,-0.038735,-0.059727,-0.02035,-0.043732,-0.000984,-0.016331,-0.03495,0.057176,0.063616,-0.018503,-0.054739,-0.032358,0.010947,0.146023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
